D_bottom_hole,D_top_hole,R_bottom_outer,R_top_outer,D_right_end,L_span_X,H_offset_Y,Pad_Length
15.5,13.0,9.52,9.14,17.4,123.3,23.5,6.6
14.3,10.1,9.61,9.43,17.5,102.2,24.0,11.9
15.6,11.3,9.78,9.72,17.8,114.6,24.1,7.3
12.3,10.6,9.51,9.25,17.8,97.5,22.7,6.3
14.0,11.7,9.93,9.3,17.9,118.9,19.9,11.0
13.9,12.8,9.63,9.35,17.5,110.9,25.7,6.4
13.5,11.9,9.74,9.02,17.7,117.0,25.8,7.0
15.3,12.4,9.8,9.06,17.9,109.3,19.9,10.0
13.2,12.8,9.83,9.2,17.7,103.8,21.9,6.5
15.3,12.1,9.54,9.24,17.9,117.9,27.3,11.1
