model,sim_id,PC_MAE_K,PC_rel_L2,PC_P95_K,n_eutectic_points
MLP,Brake_p993_m403_v04,5.413739204406738,0.007863743230700493,13.691184997558594,1196114
MLP,Brake_p1033_m403_v07,4.342565536499023,0.0068422346375882626,12.568500518798828,886755
MLP,Brake_p993_m303_v09,3.785883903503418,0.006239097099751234,11.36886978149414,891335
MLP,Brake_p953_m303_v10,8.171192169189453,0.010357840918004513,13.445762634277344,585753
MLP,Brake_p953_m303_v09,4.9317946434021,0.007581772748380899,13.377342224121094,789093
MLP,Brake_p953_m403_v03,3.471080780029297,0.005449212621897459,9.63076400756836,1034932
MLP,Brake_p1033_m353_v06,6.1862874031066895,0.008681915700435638,14.0531005859375,1015240
MLP,Brake_p993_m353_v02,13.992259979248047,0.0167744979262352,20.49165916442871,424734
MLP,Brake_p1033_m303_v07,3.9919638633728027,0.006164035759866238,11.46514892578125,927175
MLP,Brake_p953_m353_v04,5.417472839355469,0.007481015753000975,11.8265380859375,1009641
MLP,Brake_p953_m353_v07,3.2506086826324463,0.005097987595945597,9.025390625,1005290
MLP,Brake_p973_m353_v05,7.642673015594482,0.009842929430305958,13.605422973632812,534596
MLP,Brake_p1033_m303_v02,17.540008544921875,0.02112543396651745,26.44384765625,319261
MLP,Brake_p1013_m303_v10,13.18572998046875,0.01642710156738758,21.92047119140625,460896
MLP,Brake_p1013_m353_v03,2.807696580886841,0.004219240043312311,6.700439453125,900247
U-Net,Brake_p993_m403_v04,1.361581802368164,0.0020672930404543877,3.52362060546875,1196114
U-Net,Brake_p1033_m403_v07,1.518317461013794,0.0023441484663635492,4.11456298828125,886755
U-Net,Brake_p993_m303_v09,1.7238332033157349,0.0026955045759677887,4.80218505859375,891335
U-Net,Brake_p953_m303_v10,2.173215627670288,0.003279214259237051,5.795982360839844,585753
U-Net,Brake_p953_m303_v09,3.05196213722229,0.005114198662340641,9.636764526367188,789093
U-Net,Brake_p953_m403_v03,2.4052023887634277,0.003540098201483488,5.992031097412109,1034932
U-Net,Brake_p1033_m353_v06,1.8768991231918335,0.0027306850533932447,4.450626373291016,1015240
U-Net,Brake_p993_m353_v02,1.4480198621749878,0.002207815181463957,3.867330551147461,424734
U-Net,Brake_p1033_m303_v07,1.4935646057128906,0.002380477264523506,4.19769287109375,927175
U-Net,Brake_p953_m353_v04,2.6800429821014404,0.0044571771286427975,8.43603515625,1009641
U-Net,Brake_p953_m353_v07,2.427095651626587,0.003887889673933387,7.096435546875,1005290
U-Net,Brake_p973_m353_v05,1.7106282711029053,0.0025550052523612976,4.4083251953125,534596
U-Net,Brake_p1033_m303_v02,1.9696862697601318,0.00311477854847908,5.66131591796875,319261
U-Net,Brake_p1013_m303_v10,1.849721074104309,0.0028989228885620832,5.13690185546875,460896
U-Net,Brake_p1013_m353_v03,1.500084400177002,0.0023111619520932436,4.034770965576172,900247
