sample_id,D,T,bore_ratio,wall_t,Hb,taper,Db,boss_od,BCD,dh,fillet_large,fillet_small,bore_depth,boss_hole_depth,clamped
1,126.7164,23.1676,0.5144,9.7836,17.8807,-6.807,65.179,84.746,105.731,7.185,2.317,1.158,23.168,17.881,none
2,84.6437,17.1371,0.4547,6.673,10.7647,-5.758,38.487,51.833,68.238,9.112,2.0,1.0,17.137,10.765,none
3,104.5651,20.456,0.4297,6.8559,9.871,-10.365,44.929,58.641,81.603,6.447,2.046,1.023,20.456,9.871,none
4,97.1516,15.4475,0.4437,9.0821,8.6643,-2.772,43.107,61.271,79.211,7.88,2.0,1.0,15.447,8.664,none
5,102.1842,14.2414,0.5067,9.5123,17.4241,-13.779,51.777,70.801,86.493,9.692,2.0,1.0,14.241,17.424,dh
6,115.8537,10.8319,0.4848,6.1153,15.6902,-0.456,56.161,68.392,92.123,8.106,2.0,1.0,10.832,15.69,none
7,88.6333,18.0318,0.4713,8.6659,13.3241,-13.25,41.773,58.633,73.633,6.035,2.0,1.0,18.032,13.324,boss_od_rim
8,128.7687,11.5957,0.4923,7.28,11.637,-11.966,63.389,77.949,103.359,8.788,2.0,1.0,11.596,11.637,none
9,120.5668,23.792,0.4619,7.6029,18.87,-7.916,55.689,70.895,95.731,7.563,2.379,1.19,23.792,18.87,none
10,136.7023,21.8397,0.4333,8.3148,14.2575,-3.748,59.227,75.857,106.28,9.487,2.184,1.092,21.84,14.258,none
