pouring_temperature_K,mould_temperature_K,delta_T_K,sif_file
953,303,650,case_953_303.sif
953,353,600,case_953_353.sif
953,403,550,case_953_403.sif
973,303,670,case_973_303.sif
973,353,620,case_973_353.sif
973,403,570,case_973_403.sif
993,303,690,case_993_303.sif
993,353,640,case_993_353.sif
993,403,590,case_993_403.sif
1013,303,710,case_1013_303.sif
1013,353,660,case_1013_353.sif
1013,403,610,case_1013_403.sif
1033,303,730,case_1033_303.sif
1033,353,680,case_1033_353.sif
1033,403,630,case_1033_403.sif
